_id,rental,distric,bc,community,size,city,renta_type,rent_type,house_type
ObjectId(6082ebfeb68def970852e1fe),1550,沙坪坝租房,杨公桥租房,龙凤云洲租房,面积：48㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ebffb68def970852e1ff),5500,渝北租房,照母山租房,万科悦峰租房,面积：139㎡,重庆链家网,"租赁方式：整租 KevinYang
斯裴思 管家
电话咨询
为了保证您的隐私安全，此虚拟号码有效期为30分钟
在线咨询
免费拨打无骚扰",,
ObjectId(6082ec00b68def970852e200),1600,九龙坡租房,马王乡租房,北大资源燕南租房,面积：62㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ec01b68def970852e201),20000,渝北租房,照母山租房,万科悦府租房,面积：194㎡,重庆链家网,"租赁方式：整租 KevinYang
斯裴思 管家
电话咨询
为了保证您的隐私安全，此虚拟号码有效期为30分钟
在线咨询
免费拨打无骚扰",,
ObjectId(6082ec03b68def970852e202),1200,沙坪坝租房,西永租房,西著七里二组团租房,面积：29㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ec03b68def970852e203),2300,渝中租房,大坪租房,国宾豪庭一期快乐空间租房,面积：68㎡,重庆链家网,"租赁方式：整租 张伟
新凯公寓 管家
电话咨询
为了保证您的隐私安全，此虚拟号码有效期为30分钟
在线咨询
免费拨打无骚扰",,
ObjectId(6082ec04b68def970852e204),1500,沙坪坝租房,大学城租房,西城的湖租房,面积：84㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ec05b68def970852e205),4200,江北租房,江北嘴租房,中海紫御江山天誉租房,面积：89㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ec06b68def970852e206),1600,渝北租房,礼嘉租房,龙湖星图租房,面积：38㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ec07b68def970852e207),3500,渝北租房,嘉州租房,加州城市花园租房,面积：141㎡,重庆链家网,租赁方式：整租,,
